glyph_name,sort_final,USV
.notdef,0,
.null,1,
nonmarkingreturn,2,
space,3,0020
exclam,4,0021
quotedbl,5,0022
numbersign,6,0023
dollar,7,0024
percent,8,0025
ampersand,9,0026
quotesingle,10,0027
parenleft,11,0028
parenright,12,0029
asterisk,13,002A
plus,14,002B
comma,15,002C
hyphen,16,002D
period,17,002E
slash,18,002F
zero,19,0030
one,20,0031
two,21,0032
three,22,0033
four,23,0034
five,24,0035
six,25,0036
seven,26,0037
eight,27,0038
nine,28,0039
colon,29,003A
semicolon,30,003B
less,31,003C
equal,32,003D
greater,33,003E
question,34,003F
at,35,0040
A,36,0041
B,37,0042
C,38,0043
D,39,0044
E,40,0045
F,41,0046
G,42,0047
H,43,0048
I,44,0049
J,45,004A
K,46,004B
L,47,004C
M,48,004D
N,49,004E
O,50,004F
P,51,0050
Q,52,0051
R,53,0052
S,54,0053
T,55,0054
U,56,0055
V,57,0056
W,58,0057
X,59,0058
Y,60,0059
Z,61,005A
bracketleft,62,005B
backslash,63,005C
bracketright,64,005D
asciicircum,65,005E
underscore,66,005F
grave,67,0060
a,68,0061
b,69,0062
c,70,0063
d,71,0064
e,72,0065
f,73,0066
g,74,0067
h,75,0068
i,76,0069
j,77,006A
k,78,006B
l,79,006C
m,80,006D
n,81,006E
o,82,006F
p,83,0070
q,84,0071
r,85,0072
s,86,0073
t,87,0074
u,88,0075
v,89,0076
w,90,0077
x,91,0078
y,92,0079
z,93,007A
braceleft,94,007B
bar,95,007C
braceright,96,007D
asciitilde,97,007E
uni00A0,98,00A0
exclamdown,99,00A1
cent,100,00A2
sterling,101,00A3
currency,102,00A4
yen,103,00A5
brokenbar,104,00A6
section,105,00A7
dieresis,106,00A8
copyright,107,00A9
ordfeminine,108,00AA
guillemotleft,109,00AB
logicalnot,110,00AC
uni00AD,111,00AD
registered,112,00AE
macron,113,00AF
degree,114,00B0
plusminus,115,00B1
uni00B2,116,00B2
uni00B3,117,00B3
acute,118,00B4
mu,119,00B5
paragraph,120,00B6
periodcentered,121,00B7
cedilla,122,00B8
uni00B9,123,00B9
ordmasculine,124,00BA
guillemotright,125,00BB
onequarter,126,00BC
onehalf,127,00BD
threequarters,128,00BE
questiondown,129,00BF
Agrave,130,00C0
Aacute,131,00C1
Acircumflex,132,00C2
Atilde,133,00C3
Adieresis,134,00C4
Aring,135,00C5
AE,136,00C6
Ccedilla,137,00C7
Egrave,138,00C8
